Index,Original text,Modified text,High emotion,Subject matter,Ideological alignment
3,"If @USCIS truly wants to address the urgent needs of migrants at the border, it can start by reversing its unconscionable expansion of detention camps & other bad policies. Suspending asylum interviews is another cruel way to hurt families fleeing violence, persecution & poverty","If @USCIS truly wants to address the urgent needs of migrants at the border, it can start by reversing its unconscionable expansion of detention camps & other bad policies. Suspending asylum interviews is another cruel way to hurt families fleeing violence, persecution & poverty",Anger,Immigration,Left
4,"The Trump administration's cruelty is unending. Not only is this action illegal, but denying those fleeing unthinkable violence and persecution the right to apply for asylum is morally depraved. End of story. We must rise up to stop this","This administration's cruelty is unending. Not only is this action illegal, but denying those fleeing unthinkable violence and persecution the right to apply for asylum is morally depraved. End of story. We must rise up to stop this",Anger,Immigration,Left
6,Now the Trump admin wants to rewrite Emma Lazarus' poem on the Statue of Liberty. Stop.Stop ripping babies from their parents. Stop fanning the flames of xenophobia. Stop spreading this cancer of hate.<U+200B>Stop rewriting history. You will never put out Lady Liberty's torch.,Now the administration wants to rewrite Emma Lazarus' poem on the Statue of Liberty. Stop.Stop ripping babies from their parents. Stop fanning the flames of xenophobia. Stop spreading this cancer of hate. Stop rewriting history. You will never put out Lady Liberty's torch.,Anger,Immigration,Left
9,Illegal aliens with fraudulent asylum claims get work permits while awaiting hearings in backlogged immigration courts. Illegal foreign labor harms jobs and wages for Americans and legal immigrants. Trump Admin taking necessary steps to stop unfair competition and fraud,Illegal aliens with fraudulent asylum claims get work permits while awaiting hearings in backlogged immigration courts. Illegal foreign labor harms jobs and wages for Americans and legal immigrants. The administration must take necessary steps to stop unfair competition and fraud,Anger,Immigration,Right
10,"Patricia: All illegal alien crime data I cite is from official federal govt crime databases or agencies, unlike the misleading or fake propaganda crime stats open border advocates cite that insult us by claiming even illegal aliens commit fewer crimes than American citizens","All illegal alien crime data I cite is from official federal govt crime databases or agencies, unlike the misleading or fake propaganda crime stats open border advocates cite that insult us by claiming even illegal aliens commit fewer crimes than American citizens",Anger,Immigration,Right
14,The Trump administration’s move to restrict asylum is deliberately cruel. They are exacerbating human suffering and punishing desperate people for fleeing violence and poverty. This won’t address the root causes of this crisis or keep our country safe. We are better than this,This administration’s move to restrict asylum is deliberately cruel. They are exacerbating human suffering and punishing desperate people for fleeing violence and poverty. This won’t address the root causes of this crisis or keep our country safe. We are better than this,Anger,Immigration,Left
15,Mr. Trump made a series of disastrous choices this week—decisions that tear at the fabric of what this country is about. This is one of them. We must not turn our backs on refugees fleeing horrific violence and persecution around the world.,The president made a series of disastrous choices this week—decisions that tear at the fabric of what this country is about. This is one of them. We must not turn our backs on refugees fleeing horrific violence and persecution around the world.,Anger,Immigration,Left
16,The Administration's decision to demand asylum seekers fleeing violence first apply in dangerous countries along the way is both nonsensical and ILLEGAL. We will work to stop this latest unAmerican and unlawful move from Trump,The Administration's decision to demand asylum seekers fleeing violence first apply in dangerous countries along the way is both nonsensical and ILLEGAL. We will work to stop this latest unAmerican and unlawful move,Anger,Immigration,Left
17,The Trump Administration’s decision to further reduce refugee admissions is a disgraceful betrayal of our nation’s core values. America cannot turn away families fleeing violence and oppression,This Administration’s decision to further reduce refugee admissions is a disgraceful betrayal of our nation’s core values. America cannot turn away families fleeing violence and oppression,Anger,Immigration,Left
18,The word “invasion” stokes fear & implies we’re under attack.It should NEVER be used to describe our immigrant communities or those seeking asylum within our borders.@realDonaldTrump: Stop fanning the flames of racial hatred. Start by removing “invasion” from your vocabulary.,The word “invasion” stokes fear & implies we’re under attack.It should NEVER be used to describe our immigrant communities or those seeking asylum within our borders. Stop fanning the flames of racial hatred. Start by removing “invasion” from your vocabulary.,Anger,Immigration,Left
19,"'Remain in Mexico' has placed asylum seekers with legitimate claims in further danger for extortion, rape, kidnapping, and murder while they wait months in Mexico for hearings. #RemainInMexico is a sham, and DHS must stop its assault on due process.","Remain in Mexico' has placed asylum seekers with legitimate claims in further danger for extortion, rape, kidnapping, and murder while they wait months in Mexico for hearings. #RemainInMexico is a sham, and DHS must stop its assault on due process.",Anger,Immigration,Left
20,Immigrants deserve food and water.Immigrants deserve clean and sanitary spaces.Immigrants deserve basic healthcare.I'm proud to cosponsor & vote for the Humanitarian Standards for Individuals in CBP Custody Act to guarantee all of these necessities for families in detention,Immigrants deserve food and water. Immigrants deserve clean and sanitary spaces. Immigrants deserve basic healthcare. I'm proud to cosponsor & vote for the Humanitarian Standards for Individuals in CBP Custody Act to guarantee all of these necessities for families in detention,Trust,Immigration,Left
21,Fact: There are more refugees now than any time since WWII.Fact: Your 2020 refugee admissions level is the lowest in US history.Fact: There was bipartisan agreement in Congress to raise it. We were ignored.Your policy isn’t based on the facts. It shocks the conscience,,Trust,Immigration,Left
22,"As people of faith, we are called upon to show humanity, kindness, & love. At the border, I saw faith in action when I met w/ Sister Norma Pimentel & volunteers from across the country at the Catholic Charities Respite Center. Their work & generosity reflect the best of America","As people of faith, we are called upon to show humanity, kindness, & love. At the border, I saw faith in action when I met w/ Sister Norma Pimentel & volunteers from across the country at the Catholic Charities Respite Center. Their work & generosity reflect the best of America",Trust,Immigration,None
23,"This decision is a victory for a humane and rational asylum policy. The so-called “remain in Mexico” policy endangers innocent people. We must ensure that refugees are treated with respect, and that the law is upheld","This decision is a victory for a humane and rational asylum policy. The so-called “remain in Mexico” policy endangers innocent people. We must ensure that refugees are treated with respect, and that the law is upheld",Trust,Immigration,Left
25,Experts agree that the “safe third country” agreement with Guatemala would NOT provide migrants with a safe haven while they wait for asylum and would instead result in an even greater humanitarian crisis.,Experts agree that the “safe third country” agreement with Guatemala would NOT provide migrants with a safe haven while they wait for asylum and would instead result in an even greater humanitarian crisis.,Trust,Immigration,Left
26,"After traveling to the border, I saw for myself that we have a true crisis at hand. It’s time Congress step up & work in good faith to enact a real, lasting strategy that will secure our border for good","After traveling to the border, I saw for myself that we have a true crisis at hand. It’s time Congress step up & work in good faith to enact a real, lasting strategy that will secure our border for good",Trust,Immigration,None
